id,url,title,subtitle,claps,responses,reading_time,publication,date
1,https://towardsdatascience.com/not-all-rainbows-and-sunshine-the-darker-side-of-chatgpt-75917472b9c,Not All Rainbows and Sunshine: The Darker Side of ChatGPT,Part 1: The Risks and Ethical Issues…,453,11,9,Towards Data Science,27-01-2023
2,https://towardsdatascience.com/ethics-in-ai-potential-root-causes-for-biased-algorithms-890091915aa3,Ethics in AI: Potential Root Causes for Biased Algorithms,An alternative approach to understanding bias in data,311,3,12,Towards Data Science,27-01-2023
3,https://towardsdatascience.com/python-tuple-the-whole-truth-and-only-truth-lets-dig-deep-24d2bf02971b,"Python Tuple, The Whole Truth and Only the Truth: Let’s Dig Deep",,188,0,24,Towards Data Science,27-01-2023
4,https://towardsdatascience.com/dates-and-subqueries-in-sql-eaf58a3c6cf9,Dates and Subqueries in SQL,Working with dates in SQL,15,1,4,Towards Data Science,27-01-2023
5,https://towardsdatascience.com/temporal-differences-with-python-first-sample-based-reinforcement-learning-algorithm-54c11745a0ee,Temporal Differences with Python: First Sample-Based Reinforcement Learning Algorithm,,10,0,13,Towards Data Science,27-01-2023
6,https://towardsdatascience.com/numpy-character-level-rnn-af1428bb10a8,Going Under the Hood of Character-Level RNNs: A NumPy-based Implementation Guide,Due to the recent…,27,0,17,Towards Data Science,27-01-2023
7,https://uxdesign.cc/chatgpt-isnt-all-it-seems-93a674154530,"ChatGPT isn’t all it seems, read this before you use it.",ChatGPT is an AI…,178,2,8,UX Collective,27-01-2023
8,https://medium.com/swlh/10-subtle-strategies-i-wish-i-knew-when-i-had-23-email-subscribers-and-made-0-online-3eb65c335060,10 Subtle Strategies I Wish I Knew When I Had 23 Email Subscribers and Made $0 Online,,3200,51,6,The Startup,27-01-2023
9,https://medium.com/swlh/how-to-start-a-niche-site-in-under-3-hours-with-checklist-f102482eaa3b,How To Start A Niche Site in Under 3 Hours (With Checklist),How to build a niche site in only one hour…,426,7,8,The Startup,27-01-2023
10,https://medium.com/swlh/dont-become-a-full-time-content-creator-if-you-have-low-risk-tolerance-13fa2f77791a,Don’t Become a Full-Time Content Creator If You Have Low-Risk Tolerance,A friendly warning before you…,847,10,4,The Startup,27-01-2023
11,https://medium.com/swlh/why-storytelling-is-a-critical-skill-for-startup-founders-73a0449ae402,Why Storytelling Is A Critical Skill For Startup Founders,,477,2,6,The Startup,27-01-2023
12,https://medium.com/swlh/why-my-side-hustle-stuck-after-3-years-and-what-i-want-to-do-to-improve-it-b87ce72a1e19,Why My Side Hustle Stuck After 3 Years and What I Want to Do to Improve It,A change is required to…,130,2,4,The Startup,27-01-2023
13,https://writingcooperative.com/kill-your-perfectionism-with-an-abundance-mindset-bf8a6e9b561,Kill Your Perfectionism with an Abundance Mindset,Perfectionism is a recipe…,,0,3,The Writing Cooperative,27-01-2023
14,https://writingcooperative.com/how-my-mba-made-me-a-better-fiction-writer-d222bc61a5b0,"<strong class=""markup--strong markup--h3-strong"">How My MBA Made Me a Better Fiction Writer</strong>","Six years after graduating, I’m almost glad I went there",199,5,5,The Writing Cooperative,27-01-2023
15,https://writingcooperative.com/for-this-writer-self-promotion-isnt-easy-bfd0929806ca,"For this Writer, Self-Promotion isn’t Easy",Pushing a new book on social media is a skill set I wish I…,121,1,7,The Writing Cooperative,27-01-2023
16,https://writingcooperative.com/how-to-start-your-novel-with-momentum-to-finish-it-8d001f4908c5,How to Start Your Novel with Momentum to Finish It,3 strategies to a great beginning.,174,3,5,The Writing Cooperative,27-01-2023
17,https://towardsdatascience.com/using-propensity-score-matching-to-build-leading-indicators-3e656dccbaf9,"<strong class=""markup--strong markup--h3-strong"">Using Propensity-Score Matching to Build Leading Indicators</strong>","<strong class=""markup--strong markup--h4-strong"">A short guide on building activation</strong>",117,1,6,Towards Data Science,04-03-2023
18,https://towardsdatascience.com/coupon-collectors-problem-a-probability-masterpiece-1d5aed4af439,Coupon Collector’s Problem: A Probability Masterpiece,Unpacking the intricacies of a classic…,198,2,14,Towards Data Science,04-03-2023
19,https://towardsdatascience.com/r-for-data-analysis-how-to-find-the-perfect-cocomelon-video-for-your-kids-833d6b2d9267,R for Data Analysis: How to Find the Perfect Cocomelon Video for Your Kids,How to Build End-to-End…,88,0,9,Towards Data Science,04-03-2023
20,https://uxdesign.cc/sparkles-arent-good-ux-4b8199497c68,Sparkles aren’t good UX✨,"Even if they’re aesthetically pleasing, you can’t substitute important…",210,3,6,UX Collective,04-03-2023
21,https://uxdesign.cc/visualizing-direction-and-the-use-of-arrows-4b65126d0677,Visualizing direction and the use of arrows,How graphic arrows support our natural abilities and make…,372,5,7,UX Collective,04-03-2023
22,https://uxdesign.cc/building-massive-prototypes-in-figma-8e64e34848b1,Building massive prototypes in Figma,"Why, how and what of creating complex prototypes.",104,0,7,UX Collective,04-03-2023
23,https://uxdesign.cc/5-design-projects-using-non-human-personas-to-give-nature-a-voice-40edaae4bbb3,5 design projects using non-human personas to give nature a voice,Interviews with practitioners show…,132,1,13,UX Collective,04-03-2023
24,https://uxdesign.cc/conversational-ai-search-the-magical-bullshit-show-bcff092073c8,Conversational AI search: beware of smoke and mirrors,Search bots based on LLMs contain hidden dangers,80,0,12,UX Collective,04-03-2023
25,https://medium.com/swlh/ive-been-writing-online-for-the-last-9-years-and-made-7-figures-1954e4987525,"I’ve Been Writing Online for the Last 9 Years and Made 7 Figures. If I Had to Start Again, Here’s What I’d Do.",,2600,58,5,The Startup,04-03-2023
26,https://medium.com/swlh/how-to-price-your-freelance-writing-services-and-make-5k-month-8dcd2ddc7213,How to Price Your Freelance Writing Services and Make $5K+/Month,Written by someone who’s doing just…,695,13,7,The Startup,04-03-2023
27,https://medium.com/swlh/how-i-balanced-a-side-hustle-with-a-9-5-until-i-quit-for-4-hour-workdays-98a10b9135b7,How I Balanced a Side Hustle With a 9–5 Until I Quit for 4-Hour Workdays,Here are various tips for you.,658,8,4,The Startup,04-03-2023
28,https://medium.com/swlh/how-ive-showed-up-to-write-on-the-internet-for-1000-days-b8d29c6a2817,How I’ve Showed Up To Write on the Internet for 1000 Days,The things you’ve never been told,1200,25,4,The Startup,04-03-2023
29,https://medium.com/swlh/heres-how-i-would-make-my-1-online-with-the-help-of-ai-if-i-had-to-start-over-e7a0042fc059,"<strong class=""markup--strong markup--h3-strong"">Here’s How I Would Make My $1 Online With the Help of AI if I Had to Start Over</strong>",It’s easy but you have…,301,3,6,The Startup,04-03-2023
30,https://medium.com/swlh/the-secret-to-unlocking-your-brains-capacity-c4322d9c92e1,"<strong class=""markup--strong markup--h3-strong""><em class=""markup--em markup--h3-em"">The Secret to Unlocking Your Brain’s Capacity: A Simple Hack for Balancing Quick Critical Thinking and Solving</em></strong>",,293,1,7,The Startup,04-03-2023
31,https://writingcooperative.com/the-three-writing-exercises-that-actually-help-me-out-of-fiction-ruts-8cde8c3b81d1,The Three Writing Exercises That Actually Help Me Out Of Fiction Ruts,And a bonus productivity tip…,341,4,5,The Writing Cooperative,04-03-2023
32,https://writingcooperative.com/ten-months-to-publication-so-who-is-kaye-macey-bcb577175d75,Ten Months To Publication: So Who Is Kaye Macey?,Fictional characters and method writing.,168,2,4,The Writing Cooperative,04-03-2023
33,https://towardsdatascience.com/overcoming-automatic-speech-recognition-challenges-the-next-frontier-e26c31d643cc,"<strong class=""markup--strong markup--h3-strong"">Overcoming Automatic Speech Recognition Challenges: The Next Frontier</strong>","Advancements, Opportunities, and…",15,1,17,Towards Data Science,30-03-2023
34,https://towardsdatascience.com/tackling-the-problems-of-a-changing-world-with-data-13781b3a6088,Tackling the Problems of a Changing World with Data,,15,0,3,Towards Data Science,30-03-2023
35,https://towardsdatascience.com/why-is-it-so-difficult-to-successfully-get-ai-technologies-adopted-into-clinical-care-4fa549d2c36,Why is it so difficult to successfully get AI technologies adopted into clinical care?,,101,0,9,Towards Data Science,30-03-2023
36,https://towardsdatascience.com/maintaining-the-quality-of-your-feature-store-5713236b9370,Maintaining the Quality of Your Feature Store,The fundamentals of feature stores and a few tips on how…,67,0,5,Towards Data Science,30-03-2023
37,https://uxdesign.cc/from-burnout-to-balance-why-are-so-many-ux-designers-fatigued-426e750e9bb0,From burnout to balance: why are so many UX designers fatigued?,There’s a mental health problem in UX…,135,4,7,UX Collective,30-03-2023
38,https://uxdesign.cc/how-airbnb-attracted-close-to-a-million-new-hosts-in-2022-4a7811b24b3d,How Airbnb attracted close to a million new hosts in 2022,A review of the platform’s host onboarding…,127,1,8,UX Collective,30-03-2023
39,https://medium.com/swlh/from-zero-to-100-a-day-the-ultimate-guide-to-launching-a-content-based-business-5418c03a88a6,From Zero to $100 a Day: The Ultimate Guide to Launching a Content-Based Business,In less than 3 hours…,623,13,4,The Startup,30-03-2023
40,https://medium.com/swlh/how-i-built-online-income-streams-alongside-my-9-5-11ab172d0e89,How I Built Online Income Streams Alongside My 9–5,"And how you can, too.",475,8,4,The Startup,30-03-2023
41,https://medium.com/swlh/how-a-bag-of-broccoli-taught-me-an-unforgettable-lesson-about-startups-7663d43a56ad,"<strong class=""markup--strong markup--h3-strong"">How a Bag of Broccoli Taught Me an Unforgettable Lesson About Startups</strong>",You don’t have to like…,65,1,6,The Startup,30-03-2023
42,https://medium.com/swlh/4-months-ago-i-quit-my-job-to-start-my-own-business-16a0542bb00,"4 Months Ago, I Quit My Job to Start My Own Business. Here Are 5 Career Lessons I Have Learned So Far.",,11,0,7,The Startup,30-03-2023
43,https://writingcooperative.com/selling-your-self-published-novel-is-all-about-relationships-8fa87dda1ed9,Selling Your Self-Published Novel is All About Relationships,,22,0,7,The Writing Cooperative,30-03-2023
44,https://writingcooperative.com/how-to-write-better-character-description-498d81084c8a,How to Write Better Character Description,Simple Tips That Any Writer Can Apply,57,2,5,The Writing Cooperative,30-03-2023
45,https://towardsdatascience.com/how-to-effectively-use-lambda-functions-in-python-as-a-data-scientist-fd6171554053,How to Effectively Use Lambda Functions in Python as a Data Scientist,An introduction to their syntax…,260,3,7,Towards Data Science,01-03-2023
46,https://towardsdatascience.com/use-pygwalker-to-enhance-your-jupyter-notebook-eda-experience-d7a5ee358be9,Using PyGWalker to Enhance Your Jupyter Notebook EDA Experience,An Introduction to the PyGWalker…,275,10,8,Towards Data Science,01-03-2023
47,https://towardsdatascience.com/5-jupyter-hacks-that-you-never-knew-even-existed-9dc0a08fd90a,5 Jupyter Hacks That You Never Knew Even Existed,With a bonus tip,509,7,6,Towards Data Science,01-03-2023
48,https://towardsdatascience.com/building-a-recommender-system-using-machine-learning-2eefba9a692e,Building a Recommender System using Machine Learning,,,0,6,Towards Data Science,01-03-2023
49,https://towardsdatascience.com/chatgpts-electricity-consumption-7873483feac4,ChatGPT’s Electricity Consumption,ChatGPT may have consumed as much electricity…,15,0,7,Towards Data Science,01-03-2023
50,https://towardsdatascience.com/unlocking-the-potential-of-jupyterlab-discover-the-powerful-text-editor-you-never-knew-you-had-af18bf5bce3f,Unlocking the Potential of JupyterLab: Discover the Powerful Text Editor You Never Knew You Had,,80,1,6,Towards Data Science,01-03-2023
51,https://towardsdatascience.com/10-things-about-julia-i-wish-i-knew-earlier-3104ce7e3a2c,10 Things About Julia I Wish I Knew Earlier,Various different Julian programming concepts that I wish…,48,2,11,Towards Data Science,01-03-2023
52,https://towardsdatascience.com/how-to-tackle-class-imbalance-without-resampling-47bbeb2180aa,How to Tackle Class Imbalance Without Resampling,Imbalanced classification beyond resampling…,163,0,7,Towards Data Science,01-03-2023
53,https://towardsdatascience.com/mlops-with-optuna-b7c52d931b4b,MLOps with Optuna,"Don’t waste your time, use Optuna",22,0,7,Towards Data Science,01-03-2023
54,https://towardsdatascience.com/the-kaggle-blueprints-unlocking-winning-approaches-to-data-science-competitions-24d7416ef5fd,The Kaggle Blueprints: Unlocking Winning Approaches to Data Science Competitions,,151,2,2,Towards Data Science,01-03-2023
55,https://towardsdatascience.com/introduction-to-pytorch-e0235570a080,Introduction to PyTorch,Going through the Workflow of a PyTorch Project,18,1,13,Towards Data Science,01-03-2023
56,https://towardsdatascience.com/command-line-interface-cli-tutorial-how-advanced-users-interact-with-computers-28cf88f81ce,Command Line Interface (CLI) Tutorial — How Advanced Users Interact with Computers,,2,0,12,Towards Data Science,01-03-2023
57,https://towardsdatascience.com/seir-modeling-in-r-using-desolve-chronic-wasting-disease-in-deer-d88b4de2d6c6,SEIR Modeling in R Using deSolve — Chronic Wasting Disease in Deer,Gaining health policy insight with…,40,0,14,Towards Data Science,01-03-2023
58,https://towardsdatascience.com/optimization-newtons-method-profit-maximization-part-3-applied-profit-maximization-23a8c16167cd,"Optimization, Newton’s Method, & Profit Maximization: Part 3 — Applied Profit Maximization",,58,0,17,Towards Data Science,01-03-2023
59,https://towardsdatascience.com/using-apache-kafka-for-data-streaming-9199699623fa,Using Apache Kafka for Data Streaming,Learn how to install and use Kafka to send and receive messages,3,0,6,Towards Data Science,01-03-2023
60,https://towardsdatascience.com/breaking-linearity-with-relu-d2cfa7ebf264,Breaking Linearity With ReLU,Explaining how and why the ReLU activation function is non-linear,139,0,4,Towards Data Science,01-03-2023
61,https://towardsdatascience.com/5-ways-of-implementing-open-closed-principle-with-python-51fd21a90772,5 ways of Implementing Open Closed Principle with Python,Object Oriented Programming Principles for…,7,0,9,Towards Data Science,01-03-2023
62,https://towardsdatascience.com/migrating-data-make-the-most-of-the-product-itself-b79b56d5e6c1,Migrating data? Make the most of the Product itself!,Use the product features to make the data…,51,0,7,Towards Data Science,01-03-2023
63,https://uxdesign.cc/figma-culture-is-destroying-our-individualism-as-designers-bf8f4fb3aa97,Figma culture is destroying our individualism as designers,How online communities and brand addiction…,411,0,6,UX Collective,01-03-2023
64,https://uxdesign.cc/the-blessing-of-no-choices-minimalism-in-ux-1421568aa7ea,Minimalism in UX: the blessing of no choices,How minimum choices enhance users’ peace of mind.,743,8,8,UX Collective,01-03-2023
65,https://uxdesign.cc/regenerative-ux-8ced0e2e5321,Regenerative UX,,381,14,6,UX Collective,01-03-2023
66,https://uxdesign.cc/why-chatbots-fail-2bb6e5ce1434,Why chatbots fail,The novelty of AI does not make up for a bad UX,262,3,6,UX Collective,01-03-2023
67,https://uxdesign.cc/board-game-ux-a-study-on-visibility-of-system-status-fec51b30adbd,Board game UX: a study on visibility of system status,,145,1,8,UX Collective,01-03-2023
68,https://uxdesign.cc/made-for-5-billion-people-1db9d2074cfb,Made for 5 billion people,How we can empower humans to contribute to a better world through Generative…,85,1,6,UX Collective,01-03-2023
69,https://uxdesign.cc/how-to-avoid-getting-designs-shot-down-in-the-name-of-consistency-cb7b4087ec21,How to avoid getting designs shot down in the name of consistency,Component-level design helps teams…,140,0,8,UX Collective,01-03-2023
70,https://medium.com/swlh/become-obsessed-with-your-5-9-not-your-9-5-11f8038e1016,"Become Obsessed with Your 5-9, Not Your 9-5",“Sometimes magic is just someone spending more time on…,1600,42,5,The Startup,01-03-2023
71,https://medium.com/swlh/it-took-3-years-for-anyone-to-notice-my-writing-and-im-so-glad-it-did-e03b218a39e1,It Took 3 Years For Anyone to Notice My Writing. And I’m So Glad It Did.,Why slow success is often the…,3400,65,4,The Startup,01-03-2023
72,https://medium.com/swlh/6-micro-tricks-that-can-train-your-mind-to-create-more-content-a51ecae7bd4b,6 (Micro) Tricks That Can Train Your Mind To Create More Content,You are capable of producing more…,388,8,6,The Startup,01-03-2023
73,https://medium.com/swlh/i-signed-up-for-a-make-bank-with-ai-marketing-scheme-c6e93e81da9b,I Signed Up For a “Make Bank With AI” Marketing Scheme,“AI will earn you $20k per month!” is the…,130,2,9,The Startup,01-03-2023
74,https://medium.com/swlh/a-newsletter-build-to-get-high-price-clients-eb9238d9ec2c,A Newsletter Build to get High-price Clients,,88,0,5,The Startup,01-03-2023
75,https://medium.com/swlh/yes-chatgpt-can-hurt-writers-but-not-the-way-you-think-ac1d20cc64f,Why It’s Crucial to Fail As An Online Writer — (9 Reasons),The biggest barrier for most people starting an online writing career is fear.,302,3,8,The Startup,01-03-2023
76,https://medium.com/swlh/7-non-negotiable-things-you-should-think-about-as-a-freelance-writer-before-you-submit-your-guest-499537618725,7 Non-negotiable Things You Should Think About as a Freelance Writer Before You Submit Your Guest Post to a Website,,232,1,5,The Startup,01-03-2023
77,https://writingcooperative.com/the-boring-topics-that-got-my-substack-newsletter-to-74-000-subscribers-b3b5a0f24b88,"The Boring Topics That Got My Substack Newsletter to 74,000 Subscribers",And earned me a book deal with…,1000,13,4,The Writing Cooperative,01-03-2023
